id,creation_date,last_log_time,ref,id_arbo,marque,id_status,status,contrat,type_ticket,ticket_admin,read,distributeur,station,code_barres,date_achat,ticket_total_log_count,ticket_log_count_today
447461,20.04.2023,19.12.2023,Y-HDBT42-1,55,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","SWAP REUSED","Demande de réparation en station.","Marc SWAP 82",0,CDISCOUNT,"SWAP REUSED ",3664142417859,2023-04-04,16,0
461215,31.05.2023,04.03.2024,HDBT42-1A,55,HYUNDAI,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"GERAL - BRICOMARCHE 20258","GERAL - BRICOMARCHE 20258",3661602045584,2023-05-12,25,0
461782,01.06.2023,06.06.2023,AL451SHQ,62,ALPINA,35,"Modération par un administrateur du devis proposé par la station","HG Divers","Prise en charge Hors Garantie",Boris,1,"SWAP VENDOR TEST",SAV16,8008984841420,2023-06-01,3,0
470137,23.06.2023,14.02.2024,RAC5174F,1248,RACING,7,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICO DEPOT BOURGES ST GERMAIN DU PUY 1705 ","JAMO SARL ",3661602046291,2023-03-28,20,0
470462,25.06.2023,27.02.2024,"BG PRO 92 HRBK 13CM71SE655",217,BESTGREEN,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","MTD - assist. dom.","Demande de réparation en station.",Roulio,0,"BRICOMARCHE OHANA PDV09699","GILLES MAGNIER",3505391038337,2023-04-14,17,0
475571,10.07.2023,16.01.2024,HTDT561ES-1,62,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,CAPITOOLS,"123 ENERGIE MOTOCULTURE",3661602019424,2021-07-05,8,0
476130,11.07.2023,29.02.2024,"Minirider 76 RDE 13B726SD600",217,MTD,16,"La station doit faire un diagnostic de la machine.","MTD - assist. dom.","Demande de réparation en station.",Roulio,1,"LEROY MERLIN E-COMMERCE 380",REPAR'MAT,,2022-12-07,12,0
478447,18.07.2023,25.07.2023,RAC511BSRP-A,1248,RACING,40,"La réparation a été effectuée avec succès","BUILDER / TCK","Prise en charge Hors Garantie","LPM Nesma",1,"LATI - BRICOMARCHE PDV20210","SWAP 53",3661602025357,2022-06-22,19,0
478710,19.07.2023,04.01.2024,"Litchi 2500w",1044,YUZU,18,"Le ticket a été clôturé pour diagnostic","Clim Litchi","Demande de réparation en station.","Florian MERCURI",0,"CASTORAMA VITROLLES MAG N°1445","SWAP 13",,2023-06-16,25,0
479207,20.07.2023,20.07.2023,"SPH-00029C  Grey",703,BRICOMARCHE,34,"La station établit son devis pour réparer la machine","BCM Better Choice","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"AULCRI - BRICOMARCHE pdv04310",NULL,3999991616420,2022-07-15,1,0
484049,06.08.2023,25.09.2023,RAC4661PL,62,RACING,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de Garantie","Dan Vitellaro",0,"BUY AND DROP UK",NULL,3661602047441,2023-05-02,8,0
485648,11.08.2023,14.02.2024,883425,62,GARDENSTAR,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Auchan retail international","Demande de réparation en station.",Leonel,1,"AUCHAN VILLARS","AF MOTOCULTURE - ITINERANT UNIQUEMENT SUR RDV",3245676375558,2022-05-29,28,0
485649,11.08.2023,11.08.2023,66282776,62,STERWINS,34,"La station établit son devis pour réparer la machine","LEROY MERLIN FR - STERWINS","Prise en charge Hors Garantie","02 - Agent Administratif SWAP",1,"LEROY MERLIN BEAUVAIS 191","JARDINS DE LAIGNEVILLE",,2021-05-30,1,0
485783,12.08.2023,21.02.2024,RAC5614F-A,1248,RACING,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"BRICOPRIVE L'UNION","EIRL REPART59",3661602019363,2022-07-03,11,0
486376,14.08.2023,29.02.2024,TTROP224,217,TITAN,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT 1792 SARREBOURG","REPARATION EXPRESS",5059340349039,2023-03-27,20,0
487636,18.08.2023,29.02.2024,HTDT561RP-A,1248,HYUNDAI,16,"La station doit faire un diagnostic de la machine.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,CAPITOOLS,"ESPACE 2 TEMPS",3661602014931,2023-03-11,11,0
487714,18.08.2023,04.03.2024,LR180-L-EU,182,SENIX,7,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","YAT - Robots","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"LECLERC SAV",AMMECA,3459223609113,2023-03-01,24,0
487748,18.08.2023,28.09.2023,ZTR480EX,696,RYOBI,16,"La station doit faire un diagnostic de la machine.",RYOBI,"Demande de Garantie",Michel,0,"LEROY MERLIN BAYONNE 071",NULL,4058546322007,2022-07-29,6,0
488513,21.08.2023,28.09.2023,OLM1833B,189,RYOBI,3,"Une demande de garantie a été effectuée. La demande est en cours de modération par SWAP","HG Divers","Demande de Garantie",Michel,0,"SWAP REUSED ",NULL,,2023-08-10,8,0
489631,24.08.2023,05.03.2024,TTLMP170SP53,62,TITAN,7,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.",KINGFISHER,"Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICO DEPOT ST BRIEUC  PLERIN  1775","OUTILS LOCA SERVICES SARL ",5063022057426,2023-05-25,17,4
489692,24.08.2023,24.08.2023,"SUP-00010 Bleu-Rouge-Vert",703,BRICOMARCHE,34,"La station établit son devis pour réparer la machine","BCM Better Choice","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"CAPCEAN - BRICOMARCHE PDV07052",NULL,3505391111399,2023-06-08,1,0
489697,24.08.2023,24.08.2023,"SPU-00010 Ecru Grey Taupe",703,BRICOMARCHE,34,"La station établit son devis pour réparer la machine","BCM Better Choice","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"AURADEME - BRICOMARCHE 01390",NULL,3505391111399,2022-08-20,1,0
490675,28.08.2023,28.08.2023,RAC52CDORG,858,RACING,34,"La station établit son devis pour réparer la machine","BUILDER / TCK","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"BRICARO - BRICOMARCHE PDV20154  ","SN MOTOCULTURE",3661602025340,2023-04-06,1,0
491059,29.08.2023,29.08.2023,WR65719,62,GO/ON,34,"La station établit son devis pour réparer la machine","BCM Johnwin","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"BRICORAMA LOOS","DEPOT LOC",3505391074854,2022-08-21,1,0
491065,29.08.2023,29.08.2023,RACD314TB,55,RACING,34,"La station établit son devis pour réparer la machine","BUILDER / TCK","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"BRISYLVAL - BRICOMARCHE","GILLES MAGNIER",3661602043986,2023-05-05,1,0
