id,last_message_time,message,message_count
447461,05.12.2023,"anr sans faire exprès...",10
461215,04.03.2024,"<strong>Bonjour Cher station,<br></strong><br>Veuillez noter que les pièces demandées vous ont été livrées à la date du <strong>mercredi, février 28 <strong>à 10:32</strong></strong> merci de bien vouloir procéder à la réparation de la machine.<br>Nous vous remercions pour votre confiance et restons a votre disposition.<br>Cordialement,<br>Service après-vente SWAP<br>",11
470137,04.03.2024,"<strong>Bonjour cher station,<br><br></strong>Suite à notre message précédent, nous vous remercions de bien vouloir nous communiquer vos disponibilité afin de vous éditer et envoyer une étiquette de transport pour le retour de votre machine au sein de nos entrepôts.<br><br>Dans l’attente de votre retour,<br>Nous vous remercions pour votre confiance et restons à votre disposition.<br>Cordialement,<br>Service Après-Vente SWAP<br>",30
470462,16.02.2024,"BONJOUR METEZ MOI UNE HEURE 25 DE MAIN D OEUVRE <br>LE RESSORT C EST CADEAU <br>CORDIALEMENT <br>GILLES",18
475571,05.03.2024,"Chère <strong>Station</strong> <strong>partenaire </strong>, <br><br>Nous aimerions faire le point avec vous et connaitre l’avancement de ce dossier s'il vous plait.<br><br>Pouvez vous s'il vous plait nous faire un retour sur ce ticket.<br><br>Nous vous remercions par avance et restons à votre disposition.<br>
<br>
Cordialement, <br>
<br>
Service Après-Vente SWAP<br>",30
476130,26.01.2024,"Bonjour, <br><br>Malheureusement nos partenaires ne font pas ce genre de prestation. <br><br>Cordialement, <br><br>Service après-vente SWAP",9
478710,21.12.2023,"Intervention réalisée semaine du 18/12 par SWAP 13",48
484049,24.09.2023,"envoi en station  ???  UK je fais pas d'habitude",36
485648,29.02.2024,"Bonjour,<br><br>Est-ce que la fuite ne sera pas à cause du choc de la lame ?<br><br>Cordialement,<br><br>SWAP",35
485783,01.03.2024,"bonjour,<br>Je vous rappelle &agrave; quel num&eacute;ro s&#039;il vous pla&icirc;t ? Merci.<br>Bien &agrave; vous.<br>Jean-Louis CHAPPAT  Port. : 06-88-82-15-05",19
486376,29.02.2024,"commande AZ000022",17
487636,29.02.2024,"Bonjour la tondeuse est enfin emball&eacute;e. Je suis disponible aujourd&rsquo;hui jeudi 29/02, vendredi 1er mars ,mercredi 6 mars ou vendredi 8 &agrave; partir de 15h. Merci pour votre retour",12
487714,04.03.2024,"Bonjour cher client,<br><br>Vous pouvez fournir au agasin le numéro d'avoir suivnat : Numéro AV122982<br><br>Nous vous remercions pour votre confiance et restons à votre disposition.<br><br>Cordialement,<br><br>Service Après-Vente SWAP",12
487748,28.09.2023,"Bonjour,<br>Une réparation par le client pourrait être envisagée si celle-ci ne présente pas de difficulté technique, de risque pour le client et si la panne ne risque pas de se représenter à nouveau.<br>Pouvez-vous nous fournir des photos du problème et quelques détails supplémentaire pour comprendre de quelle pièce il s'agit exactement.<br>Dans l'attente de votre retour.<br><br>Cordialement.<br><br>Equipe technique Swap",4
488513,28.09.2023,"Bonjour,<br><br>Si j'ai bien compris, vous avez acheté un moteur de remplacement pour votre coupe bordure Ryobi, mais celui-ci ne fonctionne pas.<br>Etes-vous certains que la panne vient bien du moteur et non pas d'un module électronique de commande ou un interrupteur?<br>Dans l'attente de votre retour.<br><br>Cordialement.<br><br>Equipe technique Swap",5
489631,05.03.2024,"voir avec leo",7
491730,28.02.2024,"Bonjour Thomas Blancher,<br><br>Pouvez vous  respecter la procedure et valider le bon de transport, nous avons dû rembourser la machine car la machine a été bloqué. dans votre atelier<br><br>Vous devez renvoyer cette machine afin de fermer ce ticket qui date du mois d'aout !!!<br>Veuillez vous rapprocher de nadinemana@swap-europe.com<br><br>merci<br>Cordialement, <br><br>Service après-vente SWAP",20
491794,13.10.2023,"Prévoir rapatriement de la machine à Reused et rebroussement de la machine.",7
492296,05.03.2024,"Mail le 01/03 à Capitools <br><br>Hello à tous,<br>

<br>

Pouvez-voir le litige transport ci-dessous s’il vous plait et répondre à
Geodis en m’ajoutant en copie de mail.<br>

Ceci concerne le ticket  <a href="https://services.swap-europe.com/492296">https://services.swap-europe.com/492296</a><br>

<br>

<a href="mailto:adv@capitools.com">@Adv Capitools</a> un envoi en station de
réparation a été préconisée par nos techniciens concernant cette machine<br>

Cependant, le
client n’est pas en mesure de la conditionner correctement malgré les consignes
communiquées.<br>

<a href="https://services.swap-europe.com/492296">https://services.swap-europe.com/492296</a><br>

<br>

Le
transporteur Geodis nous <u>impose</u> des normes de conditionnement à savoir
sur palette, filmée et sanglée.<br>

<br>

En vous
remerciant par avance<br>

<br>

Cordialement,<br>

<br>

Fellâ<br>",11
494534,03.03.2024,"Bonjour,<br><br>Je n&#039; ai pas de nouvelles de votre part concernant le remboursement de 26&euro;, c&#039; est pourquoi je prends les devants et vous envoie mon RIB afin de r&eacute;gulariser avec votre service comptabilit&eacute; la situation.<br>Merci de votre intention,<br>Cordialement,<br>M.Leroy",20
494855,01.03.2024,"Bonjour,<br><br>Merci pour votre retour.<br><br>Nous avons programmé un autre enlèvement; même bon de transport UPS :<br><br><strong>Date d'enlèvement : mardi 5 mars 2024<br></strong><p><strong>Heure d'enlèvement au plus tôt : 9:00 Matin<br>Heure limite d'enlèvement : 2:00 Après-midi</strong></p><br>Merci pour votre collaboration.<br><br>Cordialement,<br><br>Leonel",31
495108,04.03.2024,"Bonjour,<br> <br><strong>Dernière relance<br></strong><br>Sauf erreur de notre part, nous n'avons pas eu de retour pour ce dossier.<br><br>Nous vous remercions de bien vouloir nous répondre afin de pouvoir traiter votre demande.<br><br>Sans réponse de votre part nous nous verrons obligés  de procéder à la clôture administrative de ce Ticket.<br><br>Nous vous remercions pour votre compréhension<br><br>Cordialement, <br><br>Service Après-Vente SWAP",14
495175,24.11.2023,"Bonjour,<br><br>Sauf erreur de notre part, nous n'avons pas eu de retour de votre part. Sans retour de votre part, nous serons dans l'obligation de fermer le ticket et envoyer votre machine en destruction. <br><br>Nous vous remercions pour votre confiance et restons à votre disposition.<br><br>Cordialement,<br><br>Service Après-Vente SWAP",8
495177,30.11.2023,"Bonjour,<br><br>L&#039;appareil a d&eacute;j&agrave; &eacute;t&eacute; r&eacute;cup&eacute;r&eacute; par le client, le dossier est clos.<br><br>Cordialement.",3
495480,22.02.2024,"Bonjour<br>Comme convenu ci joint les photos de l&#039;int&eacute;rieur du moteur deux photos qui date de fin ao&ucirc;t et les autres d&#039;aujourd&#039;hui.<br>On peut constater l&#039;absence d&#039;huile dans le moteur que ce soit sur la jauge comme sur toutes les parties interne au moteur <br>En for&ccedil;ant avec une barre de 1 m j&#039;ai r&eacute;ussi &agrave; d&eacute;bloquer le moteur, le cylindre a de tr&egrave;s l&eacute;g&egrave;res rayures. <br>Le moteur reste difficile &agrave; faire tourner alors qu&#039;il devrait tourner librement sans la culasse du a un d&eacute;faut de lubrification au niveau du bas moteur ( absence d&#039;huile )<br>Le moteur est donc &agrave; remplacer.<br><br><br><br>Cordialement",11
495803,04.03.2024,"Bonjour,<br><br>Enlèvement programmé le<strong> 05/03/2024 </strong>par <strong>GEODIS </strong><strong><strong>N° 87770988</strong></strong><br><br><u>Veuillez obligatoirement coller sur le colis</u> :<br><br><strong>-Le bon de transport GEODIS  ( <em>envoyé sur votre adresse mail</em> )<br><strong>-La fiche de transport</strong><br><strong>-Les références du magasin (ex : dossier SAV, bon de réparation)</strong></strong><br><br>Les documents ci-dessous disponibles en haut à droite du ticket.<br><br><strong>-La fiche de transport </strong><br><strong>-Les références du magasin (ex : dossier SAV, bon de réparation)</strong><br><em><u><br><strong>Pour cet enlèvement, merci de bien vouloir vider de son essence, préparer et remballer votre machine ( voir fiche de transport p.2)</strong></u></em><br><br>Votre adresse e-mail est rattachée au transporteur pour le suivi de cet enlèvement.<br><br>Nous restons à votre disposition au 0970753030<br><br>Cordialement, <br><br>Service Après-Vente SWAP<br>",12
496678,18.09.2023,"nelze nastartovat, chybí komprese, netočí se motor",1
496869,14.02.2024,"Bonjour, oui ce produit est toujours dans nos locaux, nous n&#039; avons pas re&ccedil;u la commande N&deg;CD262797 afin d&#039; effectuer les travaux, mr Hacault va faire fabriquer a ses frais un support <br>de lame.<br>Cordialement<br>A.LUCIEN",2
496885,13.12.2023,"Bonjour CHATELLERAULT,<br><br>Avez vous bien réceptionné la machine ?<br><br>En vous remerciant d'avance,<br><br>Service SWAP",9
497925,05.03.2024,"ce ticket etait chez Richard Danieli, qui n'est plus la. Je ne sais pas s'il y a qqch à faire car cela date depuis longtemps...",10
498084,13.12.2023,"Bonjour CHATELLERAULT,<br><br>Avez vous bien réceptionné la machine ?<br><br>En vous remerciant d'avance,<br><br>Service SWAP",13
498891,28.02.2024,"Hola,<br>Est&aacute; el cliente de nuevo aqu&iacute;.<br>El cliente nos dej&oacute; el generador el d&iacute;a 25/09/2023 15:27:53 es decir--&gt; 5 MESES!!<br>Vamos a hacer la devoluci&oacute;n y os pasaremos devoluci&oacute;n a proveedor, estos plazos son insostenibles.",13
499839,27.10.2023,"Dobr&yacute; den, <br>souhlas&iacute;m s předběžnou cenou opravy.<br>D&iacute;ky",5
500291,05.03.2024,"Bonjour Chère Station partenaire ,<br><br>Sauf erreur de notre part nous n'avons pas eu de retour pour ce dossier, pour rappel :<u> suite à la validation de l'attestation de non réparation, nous allons récupérer<u> la machine ainsi que les pièces envoyée</u>s au sein de nos entrepôts.<br><br><strong>Pour cela, nous vous remercions de bien vouloir:<br></strong></u><strong><br></strong><strong><strong>1) Nous indiquer vos disponibilités <strong>à partir d'après -demain </strong>du Lundi au Vendredi (Veuillez noter que nous ne pouvons pas déterminer l’horaire de passage du transporteur)</strong><br><br>2) Nous indiquer que la machine est bien prête et correctement emballée sur palette, sanglée et filmée</strong><br><br><strong>3)</strong> Coller le document <strong><u>ANR </u></strong>(attestation de non réparation) sur le colis/palette disponible dans l'onglet "document" du ticket en haut à droite<br><br><u><strong>Une étiquette de retour vous sera transmise sur le ticket</strong></u><br><br>En vous remerciant par avance.<br><br>Dans l'attente de votre retour.<br><br>Cordialement,<br><br>Service Après-Vente SWAP",19
500760,29.02.2024,"Le colis est en cours de transport",11
