id,creation_date,is_admin_closure,is_removed,ref,nom,statuts,types,contrat,"type ticket",pseudo
516586,"2024-01-02 09:47:09",0,0,F-CROSS,FEIDER,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Serge
516608,"2024-01-02 14:40:26",0,0,HTRTPRO5350-4-1,HYUNDAI,"En attente de paiement du panier par le client",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
516668,"2024-01-03 09:39:32",0,0,HG2201-PL,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
516670,"2024-01-03 09:49:18",0,0,HG2201-PL,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
516679,"2024-01-03 10:58:24",0,0,81967951,STERWINS,"Le client a accepté le devis, la station peut commencer la réparation",NULL,"LEROY MERLIN FR - STERWINS","Prise en charge Hors Garantie",Sylvie
516682,"2024-01-03 11:27:36",0,0,HM20V2A,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
516749,"2024-01-03 17:38:23",0,0,HFBE8T55-2,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
516752,"2024-01-03 19:00:56",0,0,HCOMP100-2,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
516785,"2024-01-04 09:09:10",0,0,LH63,"NO NAME","Le client a accepté le devis, la station peut commencer la réparation",NULL,"SIPLEC - LITTAN","Prise en charge Hors Garantie",Nadine
516804,"2024-01-04 11:22:35",0,0,HG2201-PL-A,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
516806,"2024-01-04 11:44:08",0,0,HG4000-PL,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
516858,"2024-01-04 15:48:44",0,0,HFBE8T55,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
516860,"2024-01-04 16:00:59",0,0,HSC20V2A,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP"
516914,"2024-01-05 10:46:29",0,0,RAC3100-B,RACING,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
517135,"2024-01-08 07:41:26",0,0,JHS-A020,ELSAY,"La station doit faire un diagnostic de la machine.",NULL,"JHS CLIM -LECLERC","Demande de Garantie","Florian MERCURI"
517142,"2024-01-08 09:07:31",0,0,TL40B-20,GO/ON,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BCM Johnwin","Demande de réparation en station.","01 - Agent Technique SWAP"
517149,"2024-01-08 10:10:09",0,0,TTROP224,TITAN,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
517163,"2024-01-08 11:32:51",0,0,ECSP51,ERBAUER,"La station doit faire un diagnostic de la machine.","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","01 - Agent Technique SWAP"
517179,"2024-01-08 14:48:22",0,0,APW-VBT-130P,FOXTER,"Une demande de garantie a été effectuée. La demande est en cours de modération par SWAP","Réparation sous garantie","NHP FOXTER - LECLERC","Demande de réparation en station.","01 - Agent Technique SWAP"
517228,"2024-01-08 16:43:43",0,0,HTDT5075-A,HYUNDAI,"La station établit son devis pour réparer la machine",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
517266,"2024-01-09 07:39:11",0,0,HBT75-1,HYUNDAI,"Une demande de garantie a été effectuée. La demande est en cours de modération par SWAP",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
517285,"2024-01-09 09:39:14",0,0,HTRT42,HYUNDAI,"Le client a accepté le devis, la station peut commencer la réparation",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Quentin
517299,"2024-01-09 11:01:47",0,0,HMELB20V2A,HYUNDAI,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","02 - Agent Administratif SWAP"
517314,"2024-01-09 13:48:35",0,0,HTRTPRO5350-4-1,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
517326,"2024-01-09 15:01:43",0,0,HDBT24-1,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
517381,"2024-01-09 17:18:03",0,0,X-bg3000-21,BESTGREEN,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","SWAP REUSED","Demande de réparation en station.","02 - Agent Administratif SWAP"
517432,"2024-01-10 09:42:19",0,0,CSP2525,BRICOMARCHE,"DDG par la station, un admin doit modérer cette demande.","Réparation sous garantie","BCM Dunsch","Demande de réparation en station.",Nadine
517435,"2024-01-10 10:03:54",0,0,HG2700-PL,HYUNDAI,"La station doit choisir comment s'occuper de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
517437,"2024-01-10 10:08:47",0,0,HTRT65-2C,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
517443,"2024-01-10 10:55:21",0,0,"IRIYA SEC",GOODHOME,"La station doit faire un diagnostic de la machine.",NULL,GOODHOME,"Demande de Garantie",Roulio
517467,"2024-01-10 15:12:04",0,0,S-AC-10-OUT,HAIER,"La station doit faire un diagnostic de la machine.",NULL,"Climatiseurs HAIER","Demande de Garantie",Roulio
517525,"2024-01-10 15:56:09",0,0,"K-615 20L",FOXTER,"La station doit faire un diagnostic de la machine.",NULL,"FOXTER ASPIRATEUR -LECLERC ","Demande de Garantie","01 - Agent Technique SWAP"
517533,"2024-01-10 16:49:42",0,0,HTRT42-1,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
517557,"2024-01-11 06:44:50",0,0,RACT90EA-2,RACING,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
517576,"2024-01-11 08:43:58",0,0,FBRE40V,FEIDER,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
517597,"2024-01-11 10:29:38",0,0,HEL2530-1,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
517598,"2024-01-11 10:42:30",0,0,APW-VBT-130P(B),FOXTER,"La station doit choisir comment s'occuper de la machine.","Réparation sous garantie","NHP FOXTER - LECLERC","Demande de réparation en station.","01 - Agent Technique SWAP"
