id,creation_date,is_admin_closure,is_removed,ref,marque,statuts,types,contrat,"type ticket",pseudo
428483,"2023-01-02 09:12:29",0,0,MFS-4300-1,BRICOMARCHE,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BCM Johnwin","Demande de réparation en station.",Nadine
429363,"2023-01-10 09:33:45",0,0,HDBT42,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
429724,"2023-01-12 16:32:38",0,0,RAC27PHT-1,RACING,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
430625,"2023-01-19 09:23:10",0,0,21599,ALTECO,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","ALTECO Russia","Demande de réparation en station.",Kirill
431267,"2023-01-24 07:12:24",0,0,21599,ALTECO,"Le ticket a été clôturé pour diagnostic",NULL,"ALTECO Russia","Demande de diagnostic",Abdurakhman
431290,"2023-01-24 09:09:47",0,0,RAC525KIT-1,RACING,"La réparation a été effectuée avec succès",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
431327,"2023-01-24 10:45:49",0,0,HG1600i-A,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
432140,"2023-01-29 09:52:42",0,0,40944,ALTECO,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","ALTECO Russia","Demande de réparation en station.",Kirill
433046,"2023-02-04 14:06:19",0,0,HTRT65,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
433160,"2023-02-06 07:05:59",1,0,EZG2800I,ENERGIZER,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","SWAP PL"
434263,"2023-02-13 08:57:24",0,0,RAC511BSRP-A,RACING,"En attente de paiement du panier par le client",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
434913,"2023-02-17 08:18:03",0,0,HTRT65,HYUNDAI,"La réparation a été effectuée avec succès",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
436708,"2023-03-01 08:33:38",1,0,FC3200PAP4-1,FEIDER,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Florian MERCURI"
437606,"2023-03-06 15:55:12",0,0,BGB2800-21,BESTGREEN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BCM Johnwin","Demande de réparation en station.",Nadine
437884,"2023-03-08 11:33:29",0,0,HTRTPRO5350-4-1,HYUNDAI,"La réparation a été effectuée avec succès",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
438012,"2023-03-09 09:25:54",1,0,HFBE725TS,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Jan
438643,"2023-03-13 11:36:34",0,0,27141,ALTECO,"Le ticket a été clôturé pour diagnostic",NULL,"ALTECO Russia","Demande de diagnostic",Abdurakhman
438907,"2023-03-14 12:38:19",0,0,27195,ALTECO,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","ALTECO Russia","Demande de réparation en station.",Kirill
439117,"2023-03-15 13:30:32",0,0,46398,ALTECO,"Le ticket a été clôturé pour diagnostic",NULL,"ALTECO Russia","Demande de diagnostic",Abdurakhman
439402,"2023-03-17 06:40:09",1,0,HPV20V2B3IN1,HYUNDAI,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","SWAP PL"
440301,"2023-03-21 14:07:36",0,0,HTRT65,HYUNDAI,"Le client a accepté le devis, la station peut commencer la réparation",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
440501,"2023-03-22 12:36:42",0,0,HTDT5075-A1,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
441454,"2023-03-27 09:16:00",0,0,HG4000-PL,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
442068,"2023-03-29 12:45:40",0,0,HTRT65-2C,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Marc SWAP 82"
442645,"2023-03-31 15:37:47",0,0,23750,ALTECO,"Le ticket a été clôturé pour diagnostic",NULL,"ALTECO Russia","Demande de diagnostic",Abdurakhman
443065,"2023-04-03 09:25:50",0,0,RAC42CDORG-2,RACING,"La réparation a été effectuée avec succès",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
444237,"2023-04-07 12:08:51",0,0,TTLMP170SP51,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
444324,"2023-04-07 19:05:33",0,0,RAC139PTIL-A,RACING,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
444655,"2023-04-10 07:27:51",0,0,25060,ALTECO,"Le ticket a été clôturé pour diagnostic",NULL,"ALTECO Russia","Demande de diagnostic",Abdurakhman
445207,"2023-04-11 16:20:03",0,0,HDBT50-A1,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
445961,"2023-04-14 11:06:52",1,0,"X-Smart RF 125 13B776KF600",MTD,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","SWAP REUSED","Demande de réparation en station.","Marc SWAP 82"
446087,"2023-04-14 16:06:59",0,0,HTRTPRO5350-4-1,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
446518,"2023-04-17 08:54:40",0,0,S-AC-8-OUT,HAIER,"La station doit faire un diagnostic de la machine.",NULL,"Climatiseurs HAIER","Demande de Garantie","Florian MERCURI"
446706,"2023-04-17 15:03:21",0,0,"SERIE E222 (LM-C3407)",BESTGREEN,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BCM Kingxxel","Demande de réparation en station.",Nadine
447461,"2023-04-20 08:51:57",0,0,Y-HDBT42-1,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","SWAP REUSED","Demande de réparation en station.","Marc SWAP 82"
447931,"2023-04-21 15:50:37",0,0,21599,ALTECO,"Le ticket a été clôturé pour diagnostic",NULL,"ALTECO Russia","Demande de diagnostic",Abdurakhman
448125,"2023-04-22 15:14:52",0,0,"BG ST262-19",BESTGREEN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BCM Dunsch","Demande de réparation en station.",Nadine
449302,"2023-04-27 13:17:28",0,0,HG2700-1,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","SWAP PL"
449739,"2023-04-28 16:53:34",1,0,HTDT5070ES-A,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Marc SWAP 82"
450626,"2023-05-02 15:59:06",0,0,"MROP224 ","MAC ALLISTER","La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
451265,"2023-05-04 09:52:47",0,0,HTDT561RP-A,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
451619,"2023-05-05 10:03:45",0,0,TTCSP25,TITAN,"Modération par un administrateur du devis proposé par la station",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
452805,"2023-05-09 15:50:50",1,0,FC2600PAP4,FEIDER,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","Florian STEFANI"
453083,"2023-05-10 12:34:26",0,0,HTTDB52,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
453743,"2023-05-11 16:56:02",0,0,"CSP2525 (PN2500-2A)",BRICOMARCHE,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BCM Johnwin","Demande de réparation en station.","Ghizlane "
454036,"2023-05-12 10:44:07",0,0,HG4000-A,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Frédéric
455486,"2023-05-16 14:20:32",0,0,FRT75BS125,FEIDER,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
